_id,title,year,vote_count,vote_average
664b369af5b7b67b6665c168,Death Wish,2018,2474,6.159
664b369af5b7b67b6665c169,Angel Heart,1987,1453,7.132
664b369af5b7b67b6665c16a,Logan Lucky,2017,3367,6.7
664b369af5b7b67b6665c16b,Se7en,1995,20341,8.374
664b369af5b7b67b6665c16c,The Omen,1976,1975,7.399
664b369af5b7b67b6665c16d,My Fault,2023,2529,7.984
664b369af5b7b67b6665c16e,Spider-Man: Homecoming,2017,21220,7.3
664b369af5b7b67b6665c16f,Jaws,1975,10015,7.662
664b369af5b7b67b6665c170,Skyscraper,2018,4817,6.316
664b369af5b7b67b6665c171,The Nun,2018,6442,5.892
664b369af5b7b67b6665c172,Chappie,2015,7691,6.78
664b369af5b7b67b6665c173,Shazam!,2019,9211,7.018
664b369af5b7b67b6665c174,Justice League,2017,12642,6.087
664b369af5b7b67b6665c175,Prey,2022,6317,7.723
664b369af5b7b67b6665c176,Garfield,2004,3838,5.699
664b369af5b7b67b6665c177,Allied,2016,4407,6.793
664b369af5b7b67b6665c178,Arthur the King,2024,127,6.9
664b369af5b7b67b6665c179,Chinatown,1974,3645,7.915
664b369af5b7b67b6665c17a,Halloween,1978,5337,7.6
664b369af5b7b67b6665c17b,Aquaman,2018,13677,6.895
664b369af5b7b67b6665c17c,Creed II,2018,5241,7.027
664b369af5b7b67b6665c17d,Creation of the Gods I: Kingdom of Storms,2023,247,7.1
664b369af5b7b67b6665c17e,Downsizing,2017,3678,5.349
664b369af5b7b67b6665c17f,Rings,2017,2423,4.975
664b369af5b7b67b6665c180,The Abyss,1989,2842,7.347
664b369af5b7b67b6665c181,Get Out,2017,16807,7.622
664b369af5b7b67b6665c182,Land of Bad,2024,735,7.273
664b369af5b7b67b6665c183,Nobody,2021,6742,7.97
664b369af5b7b67b6665c184,Species,1995,1560,5.963
664b369af5b7b67b6665c185,U Turn,1997,695,6.635
664b369af5b7b67b6665c186,It Chapter Two,2019,8411,6.845
664b369af5b7b67b6665c187,Blade,1998,5749,6.783
664b369af5b7b67b6665c188,Crooklyn,1994,130,6.8
664b369af5b7b67b6665c189,Grease,1978,6999,7.396
664b369af5b7b67b6665c18a,Kong: Skull Island,2017,10148,6.536
664b369af5b7b67b6665c18b,Wish,2023,1197,6.464
664b369af5b7b67b6665c18c,I Am Mother,2019,2455,6.692
664b369af5b7b67b6665c18d,Damsel,2024,1792,7.133
664b369af5b7b67b6665c18e,The American,2010,1294,5.942
664b369af5b7b67b6665c18f,Good Will Hunting,1997,11857,8.155
664b369af5b7b67b6665c190,A Quiet Place,2018,13589,7.398
664b369af5b7b67b6665c191,Suburbicon,2017,1639,5.9
664b369af5b7b67b6665c192,Metropolis,1927,2610,8.139
664b369af5b7b67b6665c193,The Creator,2023,2653,7.106
664b369af5b7b67b6665c194,Evil Dead II,1987,2973,7.549
664b369af5b7b67b6665c195,Scrooge,1970,128,6.918
664b369af5b7b67b6665c196,Iron Man 3,2013,21687,6.9
664b369af5b7b67b6665c197,Bright,2017,5481,6.153
664b369af5b7b67b6665c198,Iron Man 3,2013,21688,6.927
664b369af5b7b67b6665c199,Bright,2017,5481,6.153
664b369af5b7b67b6665c19a,Inside Out,2015,20322,7.916
664b369af5b7b67b6665c19b,Poor Things,2023,3378,7.788
664b369af5b7b67b6665c19c,Toy Story,1995,17864,7.971
664b369af5b7b67b6665c19d,The Blues Brothers,1980,4030,7.741
664b369af5b7b67b6665c19e,Saw X,2023,1699,7.294
664b369af5b7b67b6665c19f,Woody Woodpecker Goes to Camp,2024,119,6.8
664b369af5b7b67b6665c1a0,Manhattan,1979,2299,7.742
664b369af5b7b67b6665c1a1,Detroit,2017,1587,7.305
664b369af5b7b67b6665c1a2,The General,1926,1169,8
664b369af5b7b67b6665c1a3,Scream 2,1997,3966,6.491
664b369af5b7b67b6665c1a4,Anyone But You,2023,1523,7.075
664b369af5b7b67b6665c1a5,The Lion King,2019,9693,7.116
664b369af5b7b67b6665c1a6,The Rock,1996,4487,7.126
664b369af5b7b67b6665c1a7,Black Widow,2021,9807,7.256
664b369af5b7b67b6665c1a8,Holmes & Watson,2018,819,4.274
664b369af5b7b67b6665c1a9,The Super Mario Bros. Movie,2023,8429,7.676
664b369af5b7b67b6665c1aa,The Fall Guy,2024,426,7.405
664b369af5b7b67b6665c1ab,Rocky IV,1985,4230,7.083
664b369af5b7b67b6665c1ac,Brightburn,2019,3008,6.13
664b369af5b7b67b6665c1ad,GoodFellas,1990,12397,8.465
664b369af5b7b67b6665c1ae,The Equalizer 3,2023,2637,7.355
664b369af5b7b67b6665c1af,Wonder Woman 1984,2020,8172,6.445
664b369af5b7b67b6665c1b0,The Mummy,2017,6985,5.5
